# !!! シミュレーションデータ / SIMULATED DATA !!!
# これは一様乱数で生成した架空の抽せん結果であり、実際のロト7の当せん番号ではない。
# 動作確認・バックテストの基準線としてのみ使用すること。
# 実データはみずほ銀行の公式サイトから取得し、`python -m loto7 import <csv>` で置き換える。
round,date,n1,n2,n3,n4,n5,n6,n7,b1,b2
125,2015-08-21,3,5,6,20,23,25,33,16,27
126,2015-08-28,3,5,10,18,19,29,31,23,36
127,2015-09-04,3,8,9,11,13,19,37,1,16
128,2015-09-11,8,14,19,21,22,28,30,16,34
129,2015-09-18,5,8,15,17,20,29,36,10,28
130,2015-09-25,2,8,18,19,26,27,35,16,17
131,2015-10-02,3,7,13,22,26,29,34,33,37
132,2015-10-09,3,15,21,23,24,25,31,9,10
133,2015-10-16,1,6,8,14,16,19,32,34,35
134,2015-10-23,1,4,5,14,17,23,29,18,22
135,2015-10-30,2,3,6,10,23,26,27,19,28
136,2015-11-06,5,13,17,18,25,28,29,15,33
137,2015-11-13,12,14,18,26,30,31,34,21,23
138,2015-11-20,4,9,15,28,29,31,34,7,12
139,2015-11-27,3,4,6,10,11,27,30,21,22
140,2015-12-04,8,12,19,24,34,35,36,26,29
141,2015-12-11,11,21,23,25,29,32,35,4,17
142,2015-12-18,7,8,18,24,30,32,35,27,36
143,2015-12-25,1,2,11,26,28,30,36,4,9
144,2016-01-01,2,11,12,13,14,15,20,33,36
145,2016-01-08,4,7,19,27,28,31,32,12,37
146,2016-01-15,8,11,12,13,16,24,26,3,7
147,2016-01-22,2,4,8,21,27,31,35,6,11
148,2016-01-29,2,6,7,16,18,33,35,23,36
149,2016-02-05,1,10,17,21,26,32,33,3,30
150,2016-02-12,3,9,12,23,26,32,34,11,24
151,2016-02-19,4,10,13,16,17,35,36,20,26
152,2016-02-26,4,6,9,22,24,27,34,3,36
153,2016-03-04,8,9,12,17,22,27,37,4,18
154,2016-03-11,6,7,8,25,26,27,32,13,20
155,2016-03-18,3,4,9,14,18,33,37,15,31
156,2016-03-25,6,11,17,22,29,31,36,3,20
157,2016-04-01,4,9,15,17,20,26,28,18,35
158,2016-04-08,12,14,21,23,26,29,36,8,19
159,2016-04-15,6,10,12,15,28,31,36,24,26
160,2016-04-22,3,9,15,26,29,32,36,6,35
161,2016-04-29,1,2,15,24,27,31,36,19,23
162,2016-05-06,3,6,7,27,29,32,34,12,13
163,2016-05-13,3,12,13,16,18,27,36,21,28
164,2016-05-20,10,24,25,30,31,32,35,2,8
165,2016-05-27,1,3,6,19,22,30,36,31,37
166,2016-06-03,5,7,9,12,15,20,36,13,26
167,2016-06-10,6,9,10,19,27,33,35,8,14
168,2016-06-17,1,9,12,29,31,32,33,17,28
169,2016-06-24,17,28,30,31,32,34,35,11,18
170,2016-07-01,7,10,12,14,23,24,29,4,35
171,2016-07-08,3,4,9,12,24,29,34,10,25
172,2016-07-15,2,4,12,18,30,33,37,15,28
173,2016-07-22,10,18,20,21,24,28,31,13,23
174,2016-07-29,4,14,15,25,26,34,36,1,8
175,2016-08-05,8,9,13,16,17,28,37,5,33
176,2016-08-12,4,11,17,20,22,24,32,9,14
177,2016-08-19,1,5,9,22,26,27,33,8,16
178,2016-08-26,2,8,9,17,18,22,31,4,34
179,2016-09-02,6,15,19,21,29,34,36,32,35
180,2016-09-09,2,5,7,27,31,34,37,15,29
181,2016-09-16,3,9,20,25,26,27,36,7,31
182,2016-09-23,3,9,24,26,31,34,35,12,27
183,2016-09-30,13,16,20,22,23,24,31,4,28
184,2016-10-07,3,16,18,20,22,34,36,13,27
185,2016-10-14,7,15,18,20,28,34,35,24,27
186,2016-10-21,3,6,7,9,16,22,36,11,26
187,2016-10-28,6,12,15,18,28,32,36,4,31
188,2016-11-04,4,5,6,20,23,24,28,15,32
189,2016-11-11,4,10,11,23,29,33,36,6,8
190,2016-11-18,5,6,7,8,10,28,31,1,36
191,2016-11-25,5,7,9,11,15,27,30,17,36
192,2016-12-02,4,5,7,8,28,33,37,14,16
193,2016-12-09,1,3,8,28,30,32,34,5,21
194,2016-12-16,11,12,13,24,28,29,36,15,19
195,2016-12-23,6,10,15,20,22,34,36,5,33
196,2016-12-30,4,8,15,24,25,30,32,6,31
197,2017-01-06,12,17,20,23,25,28,29,4,32
198,2017-01-13,10,12,14,17,19,31,37,16,21
199,2017-01-20,2,5,13,14,17,20,26,24,33
200,2017-01-27,1,5,6,22,24,25,30,8,28
201,2017-02-03,3,7,8,11,19,32,34,20,31
202,2017-02-10,1,6,10,17,19,21,36,3,31
203,2017-02-17,18,20,23,30,31,33,34,14,19
204,2017-02-24,2,8,22,28,30,34,35,5,31
205,2017-03-03,1,10,18,24,26,34,37,21,22
206,2017-03-10,2,7,15,19,31,32,36,24,25
207,2017-03-17,3,6,10,16,18,21,30,9,29
208,2017-03-24,10,12,14,18,21,32,35,16,36
209,2017-03-31,7,8,12,14,19,28,30,13,25
210,2017-04-07,3,4,7,8,12,14,36,9,30
211,2017-04-14,1,5,18,27,28,31,36,15,30
212,2017-04-21,9,10,11,15,19,23,35,20,22
213,2017-04-28,5,7,12,13,27,31,35,19,33
214,2017-05-05,7,17,19,25,26,30,34,24,35
215,2017-05-12,3,6,11,12,16,17,34,18,23
216,2017-05-19,3,9,16,17,25,26,36,28,32
217,2017-05-26,8,12,14,15,21,23,24,4,27
218,2017-06-02,8,12,17,18,19,26,35,7,15
219,2017-06-09,10,15,16,25,29,32,35,4,30
220,2017-06-16,5,9,11,15,22,23,34,7,30
221,2017-06-23,3,13,14,21,25,29,35,22,31
222,2017-06-30,7,11,13,14,24,25,34,22,35
223,2017-07-07,1,4,20,25,32,33,34,8,18
224,2017-07-14,8,10,17,18,19,22,25,16,21
225,2017-07-21,3,6,13,16,21,23,35,5,32
226,2017-07-28,4,16,19,26,31,32,37,3,28
227,2017-08-04,3,9,13,14,21,31,37,12,33
228,2017-08-11,12,13,17,19,26,28,34,25,29
229,2017-08-18,1,2,4,8,10,12,22,16,19
230,2017-08-25,4,8,12,19,23,31,37,2,17
231,2017-09-01,2,3,11,14,30,33,34,7,20
232,2017-09-08,2,9,11,18,20,24,27,4,22
233,2017-09-15,3,5,14,15,19,20,25,6,29
234,2017-09-22,9,13,15,18,23,33,36,7,11
235,2017-09-29,7,13,16,18,24,26,35,6,17
236,2017-10-06,3,5,15,18,23,35,37,24,25
237,2017-10-13,7,14,18,21,31,32,34,19,30
238,2017-10-20,3,11,14,19,21,34,35,9,20
239,2017-10-27,11,12,16,24,25,26,37,13,19
240,2017-11-03,6,12,16,22,26,32,34,29,31
241,2017-11-10,2,6,8,20,28,35,36,9,33
242,2017-11-17,6,9,22,26,28,30,32,4,15
243,2017-11-24,6,7,10,12,14,20,35,16,22
244,2017-12-01,3,11,16,20,30,31,37,23,27
245,2017-12-08,1,2,9,11,13,24,27,21,31
246,2017-12-15,1,2,8,11,17,28,31,7,14
247,2017-12-22,3,14,18,19,20,21,25,6,30
248,2017-12-29,2,3,9,22,31,34,36,20,32
249,2018-01-05,1,4,18,22,32,34,36,20,35
250,2018-01-12,1,4,7,12,13,15,35,2,18
251,2018-01-19,2,10,11,22,28,30,33,3,16
252,2018-01-26,2,3,20,21,22,27,33,9,18
253,2018-02-02,2,5,8,13,16,19,37,7,12
254,2018-02-09,3,15,17,18,20,31,33,12,25
255,2018-02-16,6,9,11,24,25,28,33,2,14
256,2018-02-23,4,16,21,22,23,29,36,11,17
257,2018-03-02,5,7,10,17,18,32,34,1,26
258,2018-03-09,10,11,15,19,26,27,34,7,29
259,2018-03-16,3,5,6,10,11,17,35,4,16
260,2018-03-23,1,3,9,10,13,22,37,26,31
261,2018-03-30,5,8,9,12,13,17,25,6,29
262,2018-04-06,8,12,14,17,20,24,27,2,13
263,2018-04-13,2,18,24,25,29,30,34,10,23
264,2018-04-20,14,15,16,23,25,32,36,2,27
265,2018-04-27,1,10,13,17,24,30,35,20,37
266,2018-05-04,4,5,16,27,32,34,35,9,26
267,2018-05-11,3,4,5,8,12,14,36,6,13
268,2018-05-18,1,15,17,29,33,35,37,11,23
269,2018-05-25,5,6,8,17,21,27,35,13,37
270,2018-06-01,3,6,13,14,16,20,33,19,25
271,2018-06-08,6,15,18,24,29,31,32,3,16
272,2018-06-15,3,11,13,16,35,36,37,15,29
273,2018-06-22,1,4,6,11,12,14,18,33,35
274,2018-06-29,6,14,15,26,30,34,35,3,16
275,2018-07-06,4,5,6,13,17,23,34,7,35
276,2018-07-13,4,6,8,11,16,32,34,20,35
277,2018-07-20,4,19,25,28,31,32,37,10,18
278,2018-07-27,5,8,14,15,24,33,37,26,35
279,2018-08-03,3,4,7,8,25,35,36,26,28
280,2018-08-10,6,7,14,19,20,31,37,2,22
281,2018-08-17,6,15,16,17,18,30,37,9,14
282,2018-08-24,7,8,17,20,25,28,31,18,26
283,2018-08-31,10,17,18,29,32,33,34,1,22
284,2018-09-07,3,5,6,8,14,16,32,11,17
285,2018-09-14,4,7,13,16,23,32,36,25,33
286,2018-09-21,1,18,21,25,26,32,36,5,28
287,2018-09-28,6,11,21,29,31,36,37,8,18
288,2018-10-05,2,3,7,20,22,25,34,10,23
289,2018-10-12,5,9,22,24,26,29,36,20,23
290,2018-10-19,1,14,18,26,29,33,34,7,12
291,2018-10-26,5,12,13,15,25,30,31,28,33
292,2018-11-02,1,3,11,17,24,29,34,7,23
293,2018-11-09,9,12,19,20,25,31,33,14,35
294,2018-11-16,3,19,22,27,30,32,36,21,29
295,2018-11-23,1,11,20,23,29,31,33,10,22
296,2018-11-30,4,5,17,18,23,28,35,8,9
297,2018-12-07,1,4,6,15,25,28,29,9,18
298,2018-12-14,2,7,13,15,16,25,30,12,22
299,2018-12-21,1,7,8,16,22,23,34,4,11
300,2018-12-28,1,3,4,8,11,21,33,14,18
301,2019-01-04,1,11,13,16,29,30,34,24,26
302,2019-01-11,5,6,14,24,31,32,35,9,11
303,2019-01-18,4,14,17,18,23,27,29,13,30
304,2019-01-25,11,14,20,26,27,33,34,19,30
305,2019-02-01,7,16,22,24,27,28,36,19,30
306,2019-02-08,8,13,16,18,28,30,31,21,32
307,2019-02-15,2,6,8,20,22,24,35,11,17
308,2019-02-22,6,9,18,22,30,36,37,11,35
309,2019-03-01,1,3,8,13,19,25,30,12,35
310,2019-03-08,6,12,15,19,22,27,30,17,34
311,2019-03-15,12,13,23,29,31,32,33,6,14
312,2019-03-22,7,10,11,21,30,35,36,26,29
313,2019-03-29,2,9,18,27,28,35,37,21,33
314,2019-04-05,3,10,22,27,30,31,36,21,34
315,2019-04-12,16,17,21,23,27,30,33,4,26
316,2019-04-19,4,7,14,21,23,28,29,17,30
317,2019-04-26,5,18,19,22,24,30,36,14,23
318,2019-05-03,1,2,3,8,13,16,18,9,29
319,2019-05-10,2,3,7,16,17,19,20,32,34
320,2019-05-17,2,6,22,28,35,36,37,14,30
321,2019-05-24,2,6,8,9,16,30,37,25,34
322,2019-05-31,9,15,26,27,29,30,32,11,20
323,2019-06-07,5,7,16,23,27,34,35,12,13
324,2019-06-14,1,11,12,19,22,26,36,20,30
325,2019-06-21,2,3,10,17,18,26,30,6,32
326,2019-06-28,3,6,10,14,22,27,30,2,35
327,2019-07-05,2,12,16,22,29,31,35,5,37
328,2019-07-12,3,4,8,15,17,21,29,13,37
329,2019-07-19,6,9,11,23,24,28,32,19,27
330,2019-07-26,2,4,6,8,10,15,36,5,30
331,2019-08-02,5,6,15,16,17,22,27,13,34
332,2019-08-09,1,13,17,23,26,31,32,2,11
333,2019-08-16,5,8,10,11,15,16,24,4,23
334,2019-08-23,3,4,5,6,26,27,37,1,16
335,2019-08-30,4,5,11,13,14,20,31,1,25
336,2019-09-06,14,26,31,32,33,34,36,8,22
337,2019-09-13,7,13,18,22,25,29,36,19,30
338,2019-09-20,4,19,20,21,22,33,35,6,7
339,2019-09-27,2,5,14,21,26,32,33,28,35
340,2019-10-04,14,26,28,29,30,31,34,13,18
341,2019-10-11,8,12,14,16,30,33,36,13,20
342,2019-10-18,11,20,24,26,35,36,37,5,6
343,2019-10-25,1,2,13,19,26,28,32,27,36
344,2019-11-01,9,13,17,21,23,27,29,10,30
345,2019-11-08,7,9,17,20,24,25,28,34,36
346,2019-11-15,3,8,10,12,29,33,36,5,17
347,2019-11-22,3,5,15,25,31,33,34,16,23
348,2019-11-29,2,3,8,18,27,32,33,4,17
349,2019-12-06,1,7,19,24,25,28,37,12,35
350,2019-12-13,8,11,12,15,30,32,34,20,28
351,2019-12-20,4,7,11,15,21,23,30,19,20
352,2019-12-27,12,14,21,23,32,34,35,13,26
353,2020-01-03,3,11,14,21,27,35,36,1,18
354,2020-01-10,3,13,14,18,22,34,37,15,32
355,2020-01-17,7,8,9,10,16,32,35,11,12
356,2020-01-24,6,10,17,18,25,26,36,1,9
357,2020-01-31,2,4,14,15,20,21,37,17,31
358,2020-02-07,6,8,9,16,20,26,33,22,28
359,2020-02-14,4,8,9,17,19,26,32,29,30
360,2020-02-21,7,10,13,23,24,31,35,1,9
361,2020-02-28,17,20,22,27,33,34,36,30,37
362,2020-03-06,7,16,19,23,34,35,36,1,21
363,2020-03-13,2,11,16,20,27,31,32,4,35
364,2020-03-20,1,3,4,8,22,23,29,14,26
365,2020-03-27,4,9,14,17,26,31,37,12,27
366,2020-04-03,8,11,21,24,28,31,32,6,10
367,2020-04-10,1,3,12,15,18,24,37,20,35
368,2020-04-17,6,7,10,11,18,24,29,2,5
369,2020-04-24,4,8,16,28,30,33,36,13,35
370,2020-05-01,6,10,13,21,24,25,37,17,31
371,2020-05-08,1,3,11,12,16,26,35,18,32
372,2020-05-15,10,14,18,19,21,31,32,9,20
373,2020-05-22,5,13,26,28,29,30,34,7,19
374,2020-05-29,11,12,17,18,20,25,36,24,37
375,2020-06-05,10,15,26,29,32,36,37,13,33
376,2020-06-12,16,21,27,30,32,33,35,15,20
377,2020-06-19,6,7,8,10,13,14,25,11,22
378,2020-06-26,2,11,12,24,27,34,35,28,29
379,2020-07-03,14,24,25,28,29,35,37,17,34
380,2020-07-10,2,5,18,21,30,32,37,10,26
381,2020-07-17,13,16,17,20,25,28,33,30,32
382,2020-07-24,3,6,7,16,18,25,35,14,30
383,2020-07-31,8,12,13,15,21,28,37,5,18
384,2020-08-07,2,11,16,18,26,31,32,7,34
385,2020-08-14,8,11,15,17,19,24,34,16,26
386,2020-08-21,5,10,12,16,30,31,33,1,19
387,2020-08-28,2,5,12,19,23,31,36,11,28
388,2020-09-04,1,8,11,16,26,27,33,13,35
389,2020-09-11,1,5,11,17,21,23,32,9,34
390,2020-09-18,1,4,7,9,11,27,36,2,37
391,2020-09-25,3,4,12,23,24,31,36,5,10
392,2020-10-02,1,2,7,8,13,18,36,15,22
393,2020-10-09,5,13,15,21,22,27,34,1,14
394,2020-10-16,10,19,20,29,31,32,35,7,9
395,2020-10-23,1,6,8,16,17,25,26,18,20
396,2020-10-30,4,8,13,15,16,21,34,11,24
397,2020-11-06,10,11,18,29,30,31,36,14,28
398,2020-11-13,4,9,11,12,21,25,37,27,30
399,2020-11-20,5,9,13,20,25,28,37,21,22
400,2020-11-27,2,3,4,18,20,22,37,1,31
401,2020-12-04,9,10,16,18,20,30,33,25,28
402,2020-12-11,2,3,6,11,17,29,32,1,12
403,2020-12-18,13,14,22,25,30,35,37,9,28
404,2020-12-25,11,13,14,17,25,30,35,20,24
405,2021-01-01,1,2,19,22,24,28,34,9,36
406,2021-01-08,8,12,19,20,27,31,34,13,25
407,2021-01-15,2,7,10,26,27,28,30,1,11
408,2021-01-22,7,12,15,23,27,33,35,14,25
409,2021-01-29,5,19,22,29,30,33,34,6,16
410,2021-02-05,2,3,14,18,23,31,37,11,19
411,2021-02-12,9,14,16,29,31,33,35,12,32
412,2021-02-19,3,8,9,14,27,29,34,4,13
413,2021-02-26,5,8,9,12,19,25,26,13,20
414,2021-03-05,3,24,28,31,35,36,37,9,11
415,2021-03-12,8,12,16,23,25,26,28,11,18
416,2021-03-19,3,4,10,18,20,22,34,9,25
417,2021-03-26,5,7,8,11,30,32,36,9,21
418,2021-04-02,2,6,7,10,15,29,37,13,25
419,2021-04-09,7,9,10,11,15,23,36,27,29
420,2021-04-16,3,6,8,15,19,34,36,2,10
421,2021-04-23,7,22,23,29,31,36,37,12,16
422,2021-04-30,8,21,22,23,31,34,36,16,32
423,2021-05-07,5,7,15,19,20,24,35,14,32
424,2021-05-14,8,11,13,14,25,27,34,21,28
425,2021-05-21,8,12,15,22,26,28,37,5,7
426,2021-05-28,4,11,12,20,22,24,37,21,29
427,2021-06-04,2,4,9,11,17,28,36,5,34
428,2021-06-11,1,9,15,17,19,29,31,30,37
429,2021-06-18,4,5,8,16,17,21,29,27,37
430,2021-06-25,1,10,15,22,28,29,36,2,19
431,2021-07-02,3,6,16,17,22,26,37,5,28
432,2021-07-09,5,11,12,14,17,24,32,2,7
433,2021-07-16,1,13,18,19,28,30,35,32,33
434,2021-07-23,6,7,19,23,30,31,34,25,29
435,2021-07-30,1,11,17,20,21,23,30,8,28
436,2021-08-06,8,10,13,20,23,29,34,30,31
437,2021-08-13,2,4,9,19,20,25,37,11,29
438,2021-08-20,4,9,16,18,22,27,33,31,37
439,2021-08-27,3,4,15,16,22,23,32,6,7
440,2021-09-03,2,12,19,22,25,28,34,15,17
441,2021-09-10,3,5,6,7,10,18,19,1,25
442,2021-09-17,1,14,18,26,28,32,34,7,29
443,2021-09-24,9,10,12,29,33,35,36,1,11
444,2021-10-01,6,9,18,20,25,28,29,16,21
445,2021-10-08,6,17,25,31,33,34,37,5,8
446,2021-10-15,2,3,8,12,13,27,29,14,32
447,2021-10-22,2,7,11,15,26,33,37,29,31
448,2021-10-29,5,7,10,14,17,21,36,13,37
449,2021-11-05,2,4,8,9,13,27,29,19,26
450,2021-11-12,1,11,13,22,27,30,35,10,12
451,2021-11-19,3,8,9,17,27,30,34,12,32
452,2021-11-26,1,14,17,27,29,33,35,5,8
453,2021-12-03,3,4,9,14,18,27,34,6,17
454,2021-12-10,4,7,11,18,22,29,33,16,36
455,2021-12-17,4,5,11,19,31,35,36,13,32
456,2021-12-24,1,2,8,14,21,27,32,20,30
457,2021-12-31,5,7,8,13,15,29,36,10,30
458,2022-01-07,14,15,19,21,22,36,37,24,25
459,2022-01-14,3,8,15,20,22,24,25,13,30
460,2022-01-21,1,7,8,23,26,33,35,21,24
461,2022-01-28,2,10,17,22,23,25,34,5,24
462,2022-02-04,13,14,20,23,26,30,32,2,18
463,2022-02-11,5,16,17,19,22,24,36,1,10
464,2022-02-18,5,7,10,19,23,33,35,24,32
465,2022-02-25,6,16,18,23,27,35,37,2,34
466,2022-03-04,8,15,16,23,30,35,36,7,21
467,2022-03-11,5,7,10,11,12,24,33,14,32
468,2022-03-18,11,12,18,19,20,28,35,14,33
469,2022-03-25,1,8,13,15,22,35,36,11,17
470,2022-04-01,5,6,14,15,16,31,35,13,34
471,2022-04-08,1,5,7,11,16,22,25,12,36
472,2022-04-15,12,18,23,31,33,34,36,8,11
473,2022-04-22,3,5,16,21,24,25,26,7,15
474,2022-04-29,2,6,19,20,26,27,31,14,23
475,2022-05-06,2,6,11,15,32,34,36,16,24
476,2022-05-13,13,22,25,31,32,35,36,6,21
477,2022-05-20,1,13,19,24,27,30,34,6,31
478,2022-05-27,3,8,11,14,22,23,34,4,19
479,2022-06-03,9,11,14,24,27,32,37,5,12
480,2022-06-10,6,7,14,29,30,34,35,4,27
481,2022-06-17,5,16,17,19,33,35,37,12,15
482,2022-06-24,4,13,21,27,29,32,37,11,33
483,2022-07-01,1,8,9,10,11,17,23,33,35
484,2022-07-08,11,12,23,24,28,30,36,10,31
485,2022-07-15,3,8,20,22,24,29,36,7,13
486,2022-07-22,7,13,16,19,21,30,35,9,11
487,2022-07-29,3,4,13,24,27,33,37,18,31
488,2022-08-05,2,5,12,29,32,33,37,10,36
489,2022-08-12,4,12,15,16,20,29,33,17,26
490,2022-08-19,5,11,16,17,26,29,35,3,32
491,2022-08-26,1,3,11,14,15,19,24,25,34
492,2022-09-02,3,9,13,16,19,23,28,25,32
493,2022-09-09,3,8,9,14,15,34,35,4,26
494,2022-09-16,4,7,9,13,24,26,31,12,19
495,2022-09-23,8,10,15,16,20,31,33,9,30
496,2022-09-30,5,10,14,21,24,25,33,15,22
497,2022-10-07,12,16,19,22,23,25,29,14,18
498,2022-10-14,1,8,21,22,30,31,36,2,24
499,2022-10-21,3,10,15,23,26,29,34,18,30
500,2022-10-28,5,10,12,15,20,25,28,1,6
501,2022-11-04,2,3,19,22,25,29,30,6,36
502,2022-11-11,3,5,11,15,26,27,31,10,35
503,2022-11-18,1,8,14,17,19,21,37,22,33
504,2022-11-25,2,6,12,19,25,36,37,23,30
505,2022-12-02,8,10,11,13,20,24,32,30,37
506,2022-12-09,4,7,16,26,28,32,33,11,14
